"time","Time","HSShftTq","GenTq","Wind1VelX","RtVAvgxh","BldPitch1","NacYaw","RefGenSpd","GenSpeed","RotSpeed","LSSGagPxa","Azimuth","GenAccel","YawBrTAxp","YawBrTAyp"
4.7000000000000025E-001,4.7000000000000003E-001,4.0545470703394221E+003,3.4802392500000001E+003,1.1000000000000000E+001,1.0595842122970932E+001,1.2756471105266014E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.3990242318509285E+000,7.4860732063672319E+000,2.1465347319792698E+001,2.1745150508411083E+001,1.7240865203297929E+001,8.3667743895229041E-001,-3.7734677546733576E-002
4.8000000000000026E-001,4.7999999999999998E-001,4.0361151221209830E+003,3.3842175000000002E+003,1.1000000000000000E+001,1.0565816688874330E+001,1.2956471850768680E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.4312864124423452E+000,7.5078535813714851E+000,2.1910243256568556E+001,2.2194951839797426E+001,2.0931346292538354E+001,7.9335955036591266E-001,-2.8308938705099537E-002
4.9000000000000027E-001,4.8999999999999999E-001,4.0066424387814982E+003,3.2881962500000000E+003,1.1000000000000000E+001,1.0532314589689413E+001,1.3156471529054288E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.4671353383430654E+000,7.5327500336549642E+000,2.2357160122106684E+001,2.2646155271745272E+001,2.2558974765310431E+001,7.5087722584169614E-001,-1.9495848394654014E-002
5.0000000000000022E-001,5.0000000000000000E-001,3.9678445210976111E+003,3.1921732500000003E+003,1.1000000000000000E+001,1.0495610429172348E+001,1.3356474408991079E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.5059818218627807E+000,7.5605111807667029E+000,2.2806342332320632E+001,2.3098939269962521E+001,2.4186861756365133E+001,7.0952918416420230E-001,-1.0508533819304066E-002
5.1000000000000023E-001,5.1000000000000001E-001,3.9195801582865738E+003,3.0961534999999999E+003,1.1000000000000000E+001,1.0456024946422319E+001,1.3556470885625505E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.5475788843176161E+000,7.5908435319040732E+000,2.3257936918722365E+001,2.3553467751293379E+001,2.5684514858007951E+001,6.6961178667037269E-001,-1.4237958997433396E-003
5.2000000000000024E-001,5.2000000000000002E-001,3.8629091198080159E+003,3.0001317500000000E+003,1.1000000000000000E+001,1.0413910265491022E+001,1.3756471631128178E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.5914520662905645E+000,7.6234285973270843E+000,2.3712097066452905E+001,2.4009885444451996E+001,2.6919434611268443E+001,6.3139192570886649E-001,7.6424456951741972E-003
5.3000000000000025E-001,5.3000000000000003E-001,3.7984406242766604E+003,2.9041089999999999E+003,1.1000000000000000E+001,1.0369647753437816E+001,1.3956474511064960E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.6371760577859638E+000,7.6579231745397314E+000,2.4168947945446298E+001,2.4468317284166471E+001,2.7911631365822149E+001,5.9510310380023657E-001,1.6663630506769368E-002
5.4000000000000026E-001,5.4000000000000004E-001,3.7264627256728077E+003,2.8080892500000000E+003,1.1000000000000000E+001,1.0323644375893924E+001,1.4156470987699394E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.6843578844564844E+000,7.6939639166273164E+000,2.4628587816607038E+001,2.4928867051795255E+001,2.8669316971263338E+001,5.6097573484887753E-001,2.5601491943645235E-002
5.5000000000000027E-001,5.5000000000000004E-001,3.6471104528831015E+003,2.7120675000000001E+003,1.1000000000000000E+001,1.0276327418435070E+001,1.4356471733202063E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.7326105351963204E+000,7.7311727651693136E+000,2.5091092558916543E+001,2.5391616236951350E+001,2.9196554818149892E+001,5.2919899662569370E-001,3.4419005406820462E-002
5.6000000000000028E-001,5.6000000000000005E-001,3.5604079787586434E+003,2.6160445000000000E+003,1.1000000000000000E+001,1.0228139742513813E+001,1.4556474613138843E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.7815515833597759E+000,7.7691613150534495E+000,2.5556514996822369E+001,2.5856623311705835E+001,2.9494888983610721E+001,4.9991899300642045E-001,4.3091624718436805E-002
